ID,NAME,AGE,IS_DECEASED,PREDICTION
7a8b77cc32d9b4289a853c925fa3fbe3,Hulk Hogan,71,FALSE,0.963
1edea3b7261fd190b4240528073e4717,Ruth Buzzi,88,FALSE,0.961
3758b17554023777ef560e46735ff4ad,Al Rantel,69,FALSE,0.961
a5e6bdf5bf836f7e460e857008a7f7d1,Paddy Considine,50,FALSE,0.958
02b8834978c91ecfddbdefab025da23e,Brian Littrell,49,FALSE,0.955
3d734efb1783837f0ddb896e3c4d4c8f,Liam Fox,63,FALSE,0.954
7e4d40e061568a50f3730c88ce6e0336,Dana White,55,FALSE,0.954
8fd528e60f7012fd55560ce85e3a40eb,Tom Daschle,77,FALSE,0.947
f5cf6f472bc616d752302c98ca6d4c16,Belinda Carlisle,66,FALSE,0.943
47c79ea5dba659edf9ce2d91b5fa00d4,Jessie J,36,FALSE,0.94
e7ef1443dddb55eb8566adb19c9fca88,Renée Fleming,65,FALSE,0.939
52d2b32d184d80d0aaa130f2acc1ab3a,Amanda Bynes,38,FALSE,0.939
41401f9c6b6f06d74f3b04e86b862ea4,Louis Farrakhan,91,FALSE,0.938
d6ef14865529aefe31b82c4a2420b4e6,James Lankford,56,FALSE,0.934
556ce76eb0cccd2faef448e683e66175,Niki Taylor,49,FALSE,0.933
78045d7b74a382aa089fe5aa90118ae0,Brad Sherman,70,FALSE,0.928
44431247f7daded3284c0f3ce90f65c8,Roberta Flack,85,FALSE,0.925
4e81c2b7a7b51e07379378773e19d2e1,Bret Hart,67,FALSE,0.924
337cd8a717e4b3063feec47d936a0889,Fred Upton,71,FALSE,0.924
0842c26183fa0045a5964d95e55c4762,Billy Corgan,57,FALSE,0.923
25a940511999a7ac4d4cfc469ccde07e,Marc Summers,73,FALSE,0.921
acc3300fb9a169d2827855ebf13dab62,Ne-Yo,42,FALSE,0.913
e509a1e291887f7ea5acd0eb066b2438,Betty Sutton,61,FALSE,0.911
c3a71a9624772222b88188b52e0ba2fd,Bono,64,FALSE,0.909
339b2b3f9f42658674d7af9086a5f35a,Chris Van Hollen,65,FALSE,0.902
df6e42475e8c4ece7e4fe52f966bd60f,Chris Carney,65,FALSE,0.902
81e8547ef2adcf08729751dcbf15b388,Paul Gosar,66,FALSE,0.902
49f95076f3672939add72b6c3f7e5880,Josh Homme,51,FALSE,0.901
eba3c02c1c4ee6e8a13faff96b460ade,Mark Hoppus,52,FALSE,0.901
8f75b4006f77df744cb90ea5f8bb0595,Earl Pomeroy,72,FALSE,0.899
ed6dc5083b17eb0c802e4fd6b168e947,Bob Corker,72,FALSE,0.899
ba8e9789529a26855a665b68a95c79e3,Jim Costa,72,FALSE,0.899
d26efea472341369347b18399321e016,Lindsey Graham,69,FALSE,0.898
ede9f0c296f8b9e284f0bf1b2bb49111,Eric Shinseki,82,FALSE,0.882
f16e3d61f9dac00cdde625a10a7e351b,Chris Brown,35,FALSE,0.878
f832454d4ead43e8e3bd8798ed26f1ad,Bill Halter,64,FALSE,0.871
a16ecef267a466cfd951d15f78850c0b,Sabrina Bryan,40,FALSE,0.862
8a1df388700fbdc045627bcf92224841,Herschel Walker,62,FALSE,0.862
32de2c185f1d1f24eefbeae2d1a4d7a8,Bam Margera,45,FALSE,0.852
652f274f09cd531f092c1122f72b0f7e,John Milius,80,FALSE,0.849
9cb2b236e35548bae91bca90065acc60,Eric Braeden,83,FALSE,0.845
e7dc54f5d87b6ad6e678672f1e653f22,Bobby Brown,55,FALSE,0.844
ce6dcba39edc60266bbf5af38e13f769,Pat Toomey,63,FALSE,0.836
a231439b94ad79a5e36c72ddfec3c1dc,Joe Walsh,63,FALSE,0.836
4202836788f077c908bb442746b102a2,Howard Kaylan,77,FALSE,0.835
7ffea5117ce91fbaf0ccdb6fe4e9989d,André Carson,50,FALSE,0.833
b7ca0ad142db6c27afeebaee624b3ee5,Mike Patton,56,FALSE,0.83
757a004c5916770813c397616b7da77f,Brooke Burns,46,FALSE,0.823
a9ae90697b0dc0a08462e6c17f77d123,Empress Michiko,90,FALSE,0.82
168eb231966c9f833e18c6241a5962c3,Bob Uecker,89,FALSE,0.818
3c5e1fc62691417b683fd84beca33fdf,Jeff Merkley,68,FALSE,0.817
472c013fbe1e4874e3d67dc70a8f0c2d,Lou Barletta,68,FALSE,0.817
4c21f0b17f2e0a30df8e8abcf96e5855,John Culberson,68,FALSE,0.817
ae1357ab60574861eaf2932a4d52dcb1,Deryck Whibley,44,FALSE,0.815
cda5d3e779e26693e4edc1279abec80b,Princess Michael of Kent,79,FALSE,0.813
e4d3295a4414fc8534a126b79fec4601,Michael Douglas,80,FALSE,0.811
c1158e0af9d49ef2d14dfe2f3138e4f5,Anthony Kiedis,62,FALSE,0.811
6d7a2d3bdd031acbbea5d65796f68d02,Patty Murray,74,FALSE,0.807
78c3066180ec9f0c7a46276b44f21c55,Jimmy Fallon,50,FALSE,0.796
79ef0af15d5b53da3851e094f0f7ad65,Joycelyn Elders,91,FALSE,0.789
f1e228f61e7276cfdac669ecf002ad22,Kelsey Grammer,69,FALSE,0.786
fe788a64a8ba22842eb81a3228405556,Rosanne Cash,69,FALSE,0.786
bcbf68d5e24d3124680269f53284a83f,Mick Mars,68,FALSE,0.776
8f5722dc488561051fa0fa9a482e667a,Paul LePage,76,FALSE,0.77
6ba6c5e28f8741d879434b5a78a26461,Heather Locklear,63,FALSE,0.761
0a56eb095efd03fe0ab45af2e2d34154,David Petraeus,72,FALSE,0.759
4ff9b4785d1427d8c008e7ea2bd2fba7,Terry Bradshaw,76,FALSE,0.752
52a79542abf828b378dd818bfbee9280,Kevin Rudd,67,FALSE,0.751
